official gene symbol,gene id
ABAT,18
ABTB2,25841
ACACA,31
ACOT1,641371
ACSF2,80221
ACSM3,6296
ACSM5,54988
ADAM32,203102
ADAMTS4,9507
ADC,
ADCY6,112
ADH1C,126
ADRA1A,148
AFAP1,60312
AGAP3,116988
AGER,177
AGR3,155465
AHCYL2,23382
ALDH3B2,222
ALOX12,239
ALPK1,80216
AMACR,23600
AMFR,267
AMMECR1L,83607
AMPD3,272
ANGPT1,284
ANGPT2,285
ANGPTL1,9068
ANKRD39,51239
ANKRD50,57182
ANKRD52,283373
ANKS1B,56899
ANKS6,203286
ANO3,63982
ANO9,338440
ANXA11,311
ANXA6,309
AOAH,313
AP2A2,161
APOC4,346
APOLD1,81575
AQP2,359
AQP7P1,375719
AQP7P2,389756
ARHGAP18,93663
ARHGEF17,9828
ARHGEF5,7984
ARID1A,8289
ARID1B,57492
ARID5B,84159
ARL11,115761
ARL4D,379
ARNT2,9915
ARSJ,79642
ART3,419
ASB16,92591
ASCL3,56676
ASCL4,121549
ASXL1,171023
ATG10,83734
ATP1A1,476
ATP1A2,477
ATP2B1,490
ATP4B,496
ATP5G2,
ATP6V0A4,50617
ATP6V0D1,9114
ATP6V0E1,8992
ATP6V1G3,127124
ATP8B1,5205
ATP9A,10079
ATXN1,6310
ATXN7L2,127002
AVEN,57099
B4GALT2,8704
BACE2,25825
BAT1,
BAT2L1,
BCAM,4059
BCAN,63827
BCAS1,8537
BCKDK,10295
BCL2L14,79370
BEND5,79656
BET3L,
BFAR,51283
BLCAP,10904
BLMH,642
BLNK,29760
BMF,90427
BRD3,8019
BRD4,23476
BSND,7809
BTBD3,22903
BTRC,8945
BZRAP1,
C10orf11,
C10orf129,
C10orf41,
C11orf16,56673
C11orf53,
C11orf92,
C12orf23,
C12orf34,
C12orf59,
C12orf74,
C12orf77,
C13orf26,
C13orf39,
C14orf115,
C14orf138,
C14orf43,
C14orf53,
C14orf86,
C15orf33,
C15orf57,
C16orf11,
C16orf89,146556
C19orf2,
C19orf23,
C1QL3,389941
C1orf144,
C1orf168,
C1orf180,
C1orf230,
C1orf54,79630
C1orf64,
C20orf118,
C20orf151,
C20orf26,
C20orf54,
C21orf122,
C22orf46,
C2orf55,
C2orf72,257407
C2orf81,388963
C4BPB,725
C4orf19,55286
C4orf23,
C4orf26,
C6orf142,
C6orf195,
C6orf223,
C6orf227,
C7orf29,
C7orf33,202865
C7orf53,
C8orf12,
C9orf171,
C9orf50,375759
C9orf86,
C9orf98,
CA12,771
CA14,23632
CA3,761
CACHD1,57685
CAMK2A,815
CANT1,124583
CAPG,822
CAPN1,823
CAPN8,388743
CASKIN2,57513
CASZ1,54897
CCDC109A,
CCDC12,151903
CCDC125,202243
CCDC17,149483
CCDC73,493860
CD248,57124
CD9,928
CDC42,998
CDC42EP2,10435
CDC42SE1,56882
CDH17,1015
CDH9,1007
CDK2AP1,8099
CDKN2B,1030
CEL,1056
CGNL1,84952
CHAD,1101
CHD2,1106
CHD3,1107
CHD4,1108
CHDH,55349
CHKB-CPT1B,386593
CHN2,1124
CHRD,8646
CHRM5,1133
CHST4,10164
CIDEC,63924
CIRBP,1153
CISH,1154
CKMT2,1160
CLCF1,23529
CLCNKA,1187
CLCNKB,1188
CLDN10,9071
CLDN15,24146
CLDN22,53842
CLDN8,9073
CLEC1A,51267
CMC1,152100
CNKSR1,10256
COG7,91949
COL23A1,91522
COL3A1,1281
COL4A1,1282
COMT,1312
CPA5,93979
CPEB4,80315
CPNE5,57699
CPT1A,1374
CPT1B,1375
CRB1,23418
CSK,1445
CTBP2,1488
CTDSP1,58190
CTDSP2,10106
CTNNA1,1495
CTSK,1513
CUGBP1,
CUL1,8454
CXCL14,9547
CXXC5,51523
CYCSP52,360155
CYP2C18,1562
CYTH1,9267
DAB2IP,153090
DAOA,267012
DCTN1,1639
DDAH2,23564
DDR2,4921
DDX6,1656
DEF6,50619
DEFB1,1672
DEFB129,140881
DEFB135,613209
DENND1A,57706
DEPDC6,
DGKB,1607
DKK4,27121
DLGAP1,9229
DMPK,1760
DMRT2,10655
DNAH1,25981
DNAJC5B,85479
DNASE1,1773
DND1,373863
DNHD1,144132
DNLZ,728489
DNM1,1759
DNTT,1791
DOPEY2,
DRAP1,10589
DUSP7,1849
DYRK1A,1859
ECSCR,641700
EEFSEC,60678
EEPD1,80820
EFCAB8,388795
EFNA5,1946
EGF,1950
EGLN2,112398
EGOT,100126791
EHF,26298
EIF4A2,1974
EIF4EBP2,1979
ELAVL2,1993
ELF3,1999
ELOVL7,79993
EMILIN1,11117
EMP2,2013
EMX1,2016
EMX2OS,196047
ENG,2022
EPB41L1,2036
EPB41L4A,64097
EPB41L4B,54566
EPGN,255324
ERMP1,79956
ESRRG,2104
EXD2,55218
EXPH5,23086
FAM108C1,
FAM12A,
FAM131A,131408
FAM135B,51059
FAM13AOS,
FAM154A,
FAM169B,
FAM176B,
FAM177B,400823
FAM181A,90050
FAM189A2,
FAM18A,
FAM195B,
FAM26D,
FAM53B,9679
FAM60A,
FAM65B,
FAM81A,145773
FANCE,2178
FBLIM1,54751
FBXL13,222235
FBXL14,144699
FBXL22,283807
FBXW4,6468
FERMT2,10979
FEZ2,9637
FGD4,121512
FGF11,2256
FGF7,2252
FGF8,2253
FGFBP1,9982
FGFR2,2263
FHDC1,85462
FIGNL2,401720
FITM1,161247
FKRP,79147
FLJ32063,
FLJ35390,
FMN1,342184
FMNL3,91010
FMO6P,388714
FNIP2,57600
FOXI1,2299
FOXO1,2308
FOXP1,27086
FOXS1,2307
FRMD4A,55691
FRMPD2,143162
FRS2,10818
FXR2,9513
FXYD3,5349
FYCO1,79443
GAB1,2549
GAB2,9846
GALNTL4,
GCLC,2729
GCM1,8521
GCOM1,145781
GEFT,
GHRL,51738
GHRLOS,100126793
GIPC1,10755
GJC2,57165
GLIS2,84662
GLTP,51228
GNA11,2767
GNAI1,2770
GNAT3,346562
GNG3,2785
GNRH1,2796
GNRH2,2797
GOLGA6B,55889
GOSR1,9527
GPHA2,170589
GPR116,
GPR182,11318
GPRIN3,285513
GPX2,2877
GRAMD1B,57476
GRB14,2888
GUCA1A,2978
HABP4,22927
HBP1,26959
HDAC7,51564
HDC,3067
HEPACAM2,253012
HHLA2,11148
HIC2,23119
HIGD1C,613227
HK1,3098
HMGA2,8091
HMP19,
HOTAIR,100124700
HOXB3,3213
HOXB5,3215
HOXB7,3217
HOXB9,3219
HOXC4,3221
HOXC5,3222
HOXC6,3223
HOXD3,3232
HOXD8,3234
HOXD9,3235
HRG,3273
HRH1,3269
HSD11B2,3291
HSD17B14,51171
HSF1,3297
HSPB3,8988
HSPB7,27129
HTR2B,3357
HTR3B,9177
HTRA4,203100
HULC,728655
HYAL2,8692
HYAL4,23553
HYALP1,
ICAM4,3386
ID2B,84099
IDH2,3418
IFITM1,8519
IFRD1,3475
IFT140,9742
IGF2BP2,10644
IGFBP7,3490
IGFL4,444882
IKZF4,64375
IL17RE,132014
IL18,3606
IL1R1,3554
IL29,
IL34,146433
ILDR1,286676
INF2,64423
INHA,3623
INPP5J,27124
IPCEF1,26034
IQCK,124152
IRS2,8660
ITGA6,3655
ITGA9,3680
ITGB5,3693
ITPKB,3707
JARID2,3720
JOSD2,126119
KANK2,25959
KCNJ1,3758
KCNK7,10089
KCNRG,283518
KCTD1,284252
KDM2B,84678
KDM4C,23081
KIAA0247,
KIAA0319L,79932
KIAA0408,9729
KIAA0494,
KIAA0556,
KIAA0922,
KIAA1045,
KIAA1217,56243
KIAA1737,
KIT,3815
KLC2,64837
KLHL2,11275
KLHL26,55295
KLHL29,114818
KLHL3,26249
KLHL5,51088
KNG1,3827
KRT78,196374
KRT8,3856
KRT81,3887
KRTAP3-3,85293
KRTAP5-10,387273
KRTAP5-7,440050
KRTAP5-8,57830
KRTAP5-9,3846
LAMB4,22798
LASS4,
LCA5L,150082
LCAT,3931
LDB1,8861
LDLR,3949
LENEP,55891
LGALS2,3957
LGALS3,3958
LHPP,64077
LHX1,3975
LIMA1,51474
LIMCH1,22998
LIMS1,3987
LIN7A,8825
LIPF,8513
LITAF,9516
LMAN1,3998
LMO7,4008
LNX1,84708
LOC100128288,100128288
LOC100130148,
LOC100130933,
LOC100134317,100134317
LOC157627,
LOC283761,
LOC285501,
LOC338588,
LOC340074,
LOC340508,
LOC399959,
LOC402778,
LOC404266,
LOC440354,
LOC440957,
LOC442293,442293
LOC553137,
LOC642852,
LOC643008,
LOC728402,
LOC728643,
LOH3CR2A,
LPIN1,23175
LPIN2,9663
LPPR2,
LRP11,84918
LRRC17,10234
LRRFIP1,9208
LRRK2,120892
LRRN2,10446
LRRTM2,26045
LUZP6,767558
LY6G6D,58530
LYPLA2P1,653639
LYVE1,10894
MAB21L1,4081
MAB21L2,10586
MACC1,346389
MACROD1,28992
MAK,4117
MAP1A,4130
MAP2K4,6416
MAP3K11,4296
MAP4K3,8491
MAPK8,5599
MAPKBP1,23005
MAPT,4137
MARK3,4140
MAST4,375449
MBOAT1,154141
MCF2L,23263
MCPH1,79648
MECOM,2122
MED13L,23389
MED24,9862
MED26,9441
MEF2D,4209
METRNL,284207
METT10D,
MGC12982,
MGP,4256
MINA,
MIR103-1,
MIR1178,100302274
MIR1200,100302113
MIR1203,100302211
MIR1226,100302232
MIR1257,100302168
MIR125A,406910
MIR125B1,406911
MIR1279,100302182
MIR1301,100302246
MIR130A,406919
MIR135A2,406926
MIR141,406933
MIR145,406937
MIR196A1,406972
MIR199A1,406976
MIR199A2,406977
MIR200C,406985
MIR2117,100313779
MIR219-1,
MIR26B,407017
MIR301A,407027
MIR30B,407030
MIR30C1,407031
MIR30E,407034
MIR346,442911
MIR492,574449
