Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_FAT,GO:0005829~cytosol,363,36.33633633633634,2.089094504821177E-10,"5261, 11180, 10095, 25909, 8775, 23600, 9066, 230, 64837, 81848, 10657, 595, 55561, 599, 51088, 1453, 84688, 3993, 5138, 11069, 4601, 91647, 4723, 4846, 9618, 161725, 9513, 6002, 80746, 201176, 57514, 2314, 2313, 84313, 28984, 55697, 60485, 800, 7205, 4854, 197258, 10422, 4855, 10300, 8314, 10072, 8312, 23265, 23023, 1120, 127124, 54492, 64978, 372, 79671, 10755, 81876, 2324, 23382, 57521, 4862, 7337, 51422, 11168, 32, 3418, 9894, 8682, 63891, 161742, 9655, 9094, 63898, 2580, 141, 5728, 55111, 84219, 23274, 57533, 1808, 823, 6935, 6813, 5604, 140825, 157313, 90362, 6397, 91694, 4651, 9423, 272, 274, 395, 397, 85457, 2908, 11264, 10298, 284252, 5859, 9677, 1152, 26523, 23258, 23016, 29915, 55012, 1820, 58526, 120534, 840, 10869, 23373, 56904, 4775, 51218, 9564, 92565, 50807, 9569, 155038, 113675, 6731, 64777, 6050, 9681, 5082, 64419, 57447, 51100, 1399, 613, 6721, 10395, 9318, 7812, 84261, 51228, 4306, 54859, 50813, 9337, 10160, 57572, 23236, 23479, 2017, 51474, 27158, 152206, 54862, 54620, 153090, 10044, 55715, 10043, 11132, 84256, 5525, 2937, 56924, 26958, 8495, 10490, 10251, 2034, 8490, 10809, 257364, 91010, 6195, 7283, 23327, 79135, 10019, 1730, 27124, 51368, 22907, 5533, 10252, 5534, 4204, 6867, 5414, 4205, 5536, 128989, 11346, 1615, 4208, 93663, 112399, 9230, 3251, 55971, 27010, 80233, 84836, 26284, 1500, 2039, 523, 255189, 525, 7965, 6878, 529, 1627, 10146, 2956, 5681, 92369, 6895, 128853, 116985, 10908, 23301, 25962, 3382, 60528, 57480, 55062, 51382, 1998, 3939, 535, 387751, 84864, 538, 54899, 83892, 55745, 80142, 8829, 4901, 10116, 51704, 1999, 92597, 22900, 9810, 5213, 22906, 55075, 161582, 92591, 27352, 1523, 168537, 25970, 4478, 5447, 7867, 641700, 158067, 6670, 129880, 9146, 5580, 9026, 6671, 23408, 5583, 7884, 6675, 2078, 245973, 114822, 23766, 79058, 1656, 115361, 2622, 311, 58476, 2982, 54795, 57707, 5336, 55527, 474344, 57704, 2869, 8607, 91607, 23779, 51606, 25839, 5594, 8741, 135138, 3176, 26249, 23411, 3052, 55893, 30851, 4939, 23097, 203, 79600, 5909, 54566, 2873, 196527, 122553, 327, 54205, 11313, 10587, 3964, 90627, 7407, 9828, 84196, 80150, 163859, 25804, 22899, 9961, 4154, 25929, 9844, 27303, 8195, 57162, 4947, 573, 2888, 2766, 2886, 55781, 2885, 55303, 55666, 2762, 79879, 5911, 5119, 9839, 51626, 5256, 113026, 26224, 57175, 25930, 57176, 80728, 221, 79068, 51194, 54583, 2534, 26100, 57731, 6337, 9605, 122416, 54903, 5924",865,5694,17811,1.3126875262673823,1.771551939588889E-7,1.0522797294817601E-7,9.691397036854418E-8
GOTERM_CC_FAT,GO:0033176~proton-transporting V-type ATPase complex,14,1.4014014014014013,2.481791814815472E-10,"50617, 51606, 245972, 127124, 245973, 51382, 533, 523, 535, 525, 537, 527, 529, 10159",865,29,17811,9.940362766593582,2.1045589193580128E-7,1.0522797294817601E-7,9.691397036854418E-8
GOTERM_CC_FAT,GO:0016471~vacuolar proton-transporting V-type ATPase complex,13,1.3013013013013013,8.104277570042416E-10,"50617, 51606, 245972, 127124, 245973, 51382, 533, 523, 535, 525, 527, 529, 10159",865,26,17811,10.295375722543353,6.872424748172179E-7,2.290809126465323E-7,2.1098135940677088E-7
GOTERM_BP_FAT,GO:0072359~circulatory system development,108,10.81081081081081,1.176163091942925E-9,"9742, 2034, 91010, 79652, 2548, 2701, 57343, 79812, 84287, 10252, 5138, 5534, 4204, 2828, 94, 4205, 639, 4208, 4846, 4209, 115948, 5155, 1909, 28984, 1464, 800, 60485, 5787, 10266, 3643, 4854, 4855, 3767, 1901, 7849, 5681, 25960, 161198, 3815, 63917, 2324, 775, 78987, 2321, 54538, 538, 659, 8829, 32, 140706, 5175, 161742, 3791, 57493, 161582, 7075, 10800, 5728, 1003, 3784, 947, 641700, 5604, 129880, 9146, 10052, 3200, 57381, 23129, 2624, 1012, 10298, 7098, 5594, 23411, 26523, 284, 840, 51330, 2113, 79602, 4775, 8613, 3964, 90627, 284086, 22899, 9444, 7422, 2254, 6050, 147372, 8195, 2767, 6608, 1399, 57608, 79879, 10395, 113026, 8642, 2022, 55036, 54583, 153090, 352909, 54903, 10203",901,1271,19367,1.826483555730978,8.607124206139183E-6,8.607161506838325E-6,8.319001549312309E-6
GOTERM_MF_FAT,GO:0036442~hydrogen-exporting ATPase activity,12,1.2012012012012012,6.310656610044662E-9,"51382, 50617, 51606, 533, 523, 535, 525, 245972, 127124, 245973, 527, 529",809,25,17002,10.087713226205192,9.106236132705448E-6,4.553138744147223E-6,4.477410864826687E-6
GOTERM_MF_FAT,"GO:0046961~proton-transporting ATPase activity, rotational mechanism",12,1.2012012012012012,6.310656610044662E-9,"51382, 50617, 51606, 533, 523, 535, 525, 245972, 127124, 245973, 527, 529",809,25,17002,10.087713226205192,9.106236132705448E-6,4.553138744147223E-6,4.477410864826687E-6
GOTERM_BP_FAT,GO:0001944~vasculature development,80,8.008008008008009,7.147876702781435E-9,"9146, 10052, 3200, 2034, 91010, 57381, 23129, 79652, 2548, 2701, 2624, 57343, 79812, 1012, 5138, 5534, 4204, 2828, 10298, 94, 639, 4846, 4208, 7098, 5594, 5155, 1909, 26523, 23411, 284, 51330, 28984, 1464, 2113, 79602, 800, 5787, 4775, 10266, 8613, 4854, 4855, 3964, 90627, 1901, 22899, 9444, 7422, 2254, 161198, 25960, 6050, 147372, 6608, 3815, 2324, 1399, 2321, 57608, 54538, 79879, 659, 538, 8829, 5175, 161742, 3791, 113026, 57493, 2022, 7075, 10800, 5728, 54583, 1003, 153090, 947, 641700, 5604, 10203",901,867,19367,1.9833915155146082,5.230679408518846E-5,1.7436053903651515E-5,1.6852310639591026E-5
GOTERM_BP_FAT,GO:0072358~cardiovascular system development,80,8.008008008008009,7.147876702781435E-9,"9146, 10052, 3200, 2034, 91010, 57381, 23129, 79652, 2548, 2701, 2624, 57343, 79812, 1012, 5138, 5534, 4204, 2828, 10298, 94, 639, 4846, 4208, 7098, 5594, 5155, 1909, 26523, 23411, 284, 51330, 28984, 1464, 2113, 79602, 800, 5787, 4775, 10266, 8613, 4854, 4855, 3964, 90627, 1901, 22899, 9444, 7422, 2254, 161198, 25960, 6050, 147372, 6608, 3815, 2324, 1399, 2321, 57608, 54538, 79879, 659, 538, 8829, 5175, 161742, 3791, 113026, 57493, 2022, 7075, 10800, 5728, 54583, 1003, 153090, 947, 641700, 5604, 10203",901,867,19367,1.9833915155146082,5.230679408518846E-5,1.7436053903651515E-5,1.6852310639591026E-5
UP_SEQ_FEATURE,REGION:Disordered,726,72.67267267267268,8.009988436717267E-9,"22998, 132299, 25909, 2551, 1583, 114984, 9066, 9063, 81848, 10657, 2548, 55561, 79414, 51088, 55324, 57620, 1453, 57509, 92979, 3993, 4601, 91647, 10655, 4846, 6904, 115948, 90550, 64285, 9079, 161725, 9073, 80746, 115704, 55696, 201176, 55695, 57514, 2314, 55572, 10309, 2313, 284207, 79886, 147798, 1464, 283358, 55697, 800, 3643, 4854, 10422, 4855, 10300, 3767, 2319, 4858, 23704, 399665, 115811, 55340, 54492, 81628, 79671, 6928, 10755, 644809, 55342, 148418, 81876, 2324, 57520, 55346, 1112, 57521, 2321, 4862, 92999, 26092, 374291, 10873, 5834, 3419, 3418, 6925, 140706, 90332, 3791, 161742, 3672, 9094, 404093, 2581, 2580, 339229, 5728, 58986, 55111, 124995, 3423, 9091, 1003, 57533, 3784, 6935, 947, 5604, 6813, 10402, 140825, 157313, 90362, 91694, 4651, 3200, 57666, 79575, 114790, 83714, 57662, 114794, 344805, 2101, 1012, 5612, 3676, 284252, 93624, 1152, 80306, 56341, 167465, 7809, 10749, 840, 80314, 284129, 10869, 2113, 375033, 4775, 605, 27293, 219623, 22937, 155038, 50807, 6731, 57561, 2494, 146562, 57447, 6608, 79596, 1039, 83857, 1159, 27020, 27146, 1399, 80347, 610, 10838, 613, 284114, 6721, 7812, 4306, 50813, 5639, 2022, 57572, 389692, 27153, 55036, 57217, 2017, 27158, 550631, 3344, 153090, 4676, 5525, 26958, 64430, 10490, 348013, 2034, 23321, 126695, 1181, 23327, 10019, 254887, 126326, 753, 54873, 197407, 79812, 51368, 5533, 10252, 4204, 5414, 90835, 6867, 4205, 5536, 54876, 128989, 11346, 639, 4208, 4209, 221955, 6641, 6522, 112399, 90952, 6521, 3133, 317762, 1075, 25876, 23216, 55971, 56942, 8819, 2039, 388135, 79922, 445815, 55731, 56948, 54768, 768, 527, 6878, 6877, 10146, 7849, 5681, 8711, 6895, 128853, 116985, 25960, 25962, 23301, 3382, 23303, 359845, 126669, 55502, 533, 775, 51267, 78987, 535, 54538, 537, 658, 79714, 538, 6768, 54899, 659, 10474, 199920, 8829, 79839, 266722, 9810, 5213, 163882, 389493, 388284, 3270, 780, 10008, 3149, 54665, 665, 25970, 55753, 2299, 84056, 7866, 4478, 85026, 5447, 4238, 7867, 641700, 6419, 6670, 23648, 5583, 6671, 23408, 8611, 7884, 2078, 245973, 116449, 64118, 116448, 80833, 57700, 311, 400831, 53343, 54795, 57707, 5336, 55527, 474344, 5338, 91966, 57704, 6549, 10335, 6309, 55529, 3291, 23779, 7770, 285362, 25839, 285367, 8741, 200958, 23411, 55890, 3052, 51294, 78992, 55893, 54681, 323, 203, 54566, 79600, 79602, 327, 113178, 8614, 11313, 7407, 90506, 90627, 10102, 84196, 196883, 284086, 9828, 163859, 25804, 22899, 9961, 5364, 7422, 25929, 9843, 4034, 25809, 22893, 221303, 221545, 23500, 147372, 255877, 54331, 573, 56996, 55781, 55303, 55666, 57608, 79879, 6448, 92714, 5119, 285382, 9839, 138428, 8402, 5256, 113026, 8642, 64147, 25930, 80724, 80728, 23513, 51194, 54583, 55793, 55554, 57731, 6337, 9605, 5128, 5129, 352909, 10445, 9862, 10090, 129563, 6597, 10095, 7325, 9742, 118429, 23288, 222658, 64837, 595, 138162, 51760, 83479, 11067, 5138, 137075, 9618, 51409, 11070, 9873, 7695, 5155, 9513, 6002, 11194, 1909, 164312, 337867, 79089, 7570, 28984, 24144, 7205, 9867, 1901, 8314, 11282, 7223, 131544, 8312, 23023, 23265, 161198, 29800, 127124, 57088, 372, 29803, 84229, 23382, 143884, 7337, 51422, 51304, 143888, 11168, 51669, 51547, 54816, 84461, 32, 125170, 9894, 5175, 7596, 63891, 64981, 7113, 9413, 9655, 23277, 63898, 141, 84219, 54941, 54940, 84216, 23274, 116224, 9649, 1808, 6018, 83483, 11178, 6397, 5188, 9788, 10052, 23247, 272, 254050, 274, 395, 23129, 397, 1810, 25780, 122961, 51322, 85457, 23484, 89932, 2908, 10296, 9537, 10298, 197322, 9552, 9677, 65975, 162333, 26523, 23258, 29915, 23138, 64409, 1820, 120534, 23371, 51330, 51696, 23373, 84231, 51218, 54849, 11037, 84230, 9564, 9444, 7145, 10150, 9569, 64411, 64777, 399909, 9681, 375616, 5082, 64419, 117246, 51465, 116159, 10395, 55824, 84146, 11245, 51347, 1717, 1838, 11244, 84261, 51228, 199964, 10039, 10160, 132720, 10042, 64788, 23236, 222229, 23359, 90809, 51474, 152206, 54620, 54862, 54868, 10044, 9209, 10043, 84256, 89941, 85462, 151230, 56924, 11018, 8495, 92106, 9467, 257364, 10809, 91252, 91010, 6195, 55040, 2701, 169611, 27124, 1730, 255057, 57223, 22907, 81570, 2828, 93663, 9230, 145781, 55295, 84708, 27010, 83986, 80233, 283638, 83989, 26164, 1500, 26284, 3927, 79007, 83985, 57477, 79009, 255189, 27134, 10827, 22918, 1627, 124935, 2956, 7068, 92002, 92369, 285613, 90060, 10908, 79152, 60528, 57480, 112703, 55062, 57127, 1998, 3815, 283989, 388722, 2720, 387751, 84864, 83892, 51704, 4901, 1879, 1999, 92597, 50617, 22900, 9136, 92359, 22906, 57493, 26269, 57130, 200014, 55075, 55196, 92591, 7075, 57017, 1523, 57019, 2731, 80017, 26022, 400566, 26024, 84971, 9146, 9026, 8291, 114822, 7084, 9143, 258010, 57381, 114825, 79058, 2624, 1656, 2622, 2743, 58476, 23086, 2869, 79041, 55092, 375307, 64925, 79047, 59339, 4939, 23097, 5909, 2873, 3964, 3607, 80150, 27303, 163183, 2888, 4708, 2886, 29842, 2642, 84304, 2762, 84662, 51629, 153241, 11098, 26224, 57175, 57176, 79068, 2534, 84895, 51754, 122416, 54903, 5924",967,13739,20558,1.1234037902504008,2.8611269548894924E-5,2.8619688684390794E-5,2.8611678695954076E-5
KEGG_PATHWAY,hsa00190:Oxidative phosphorylation,25,2.5025025025025025,1.7665575607158803E-8,"7384, 245972, 127124, 245973, 51382, 4708, 498, 533, 535, 537, 4700, 374291, 4723, 1537, 9377, 50617, 51606, 1351, 523, 525, 4697, 527, 54205, 529, 56901",416,134,8644,3.876650401836969,5.529309911822544E-6,2.785772272988636E-6,2.625568116714529E-6
