Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0010608~posttranscriptional regulation of gene expression	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	1166	19376	16.25398799313894	0.0	0.0	0.0
GOTERM_BP_FAT	GO:0016458~gene silencing	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	745	19376	25.439127516778523	0.0	0.0	0.0
GOTERM_BP_FAT	GO:0035195~gene silencing by miRNA	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	656	19376	28.89047256097561	0.0	0.0	0.0
GOTERM_BP_FAT	GO:0043603~cellular amide metabolic process	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	1747	19376	10.848397252432742	0.0	0.0	0.0
GOTERM_BP_FAT	GO:0031047~gene silencing by RNA	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	698	19376	27.152077363896847	0.0	0.0	0.0
GOTERM_BP_FAT	GO:0051248~negative regulation of protein metabolic process	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	1651	19376	11.479194427619625	0.0	0.0	0.0
GOTERM_BP_FAT	GO:0034249~negative regulation of cellular amide metabolic process	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	806	19376	23.513833746898264	0.0	0.0	0.0
GOTERM_BP_FAT	GO:0017148~negative regulation of translation	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	780	19376	24.297628205128206	0.0	0.0	0.0
GOTERM_BP_FAT	GO:0034248~regulation of cellular amide metabolic process	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	1107	19376	17.120280036133696	0.0	0.0	0.0
GOTERM_BP_FAT	GO:0016441~posttranscriptional gene silencing	313	72.96037296037296	0.0	406982, 407039, 406984, 407036, 406983, 407037, 406985, 406988, 406987, 407030, 407034, 407035, 407033, 100302157, 100302150, 406979, 406978, 100126351, 100422982, 406971, 407027, 406970, 407026, 100126345, 100126346, 406974, 100126347, 407029, 100126348, 407020, 407023, 100302149, 407021, 407022, 100126341, 406968, 406967, 100126343, 406969, 100423036, 100422981, 100126340, 100126338, 406960, 407017, 406962, 407014, 406961, 100126334, 406964, 100126335, 406963, 406966, 407018, 407019, 407012, 100033819, 407013, 407010, 407011, 100302174, 406957, 693190, 100126331, 406959, 693192, 100126333, 406958, 100126328, 693177, 407006, 406951, 406950, 407004, 406953, 407009, 100126324, 406952, 100126325, 407007, 407008, 407001, 407000, 100302289, 574502, 574503, 574504, 406946, 574506, 574507, 406948, 574508, 406947, 406949, 100126317, 100126318, 693200, 693201, 100126313, 693203, 100126314, 100126315, 693209, 574483, 574477, 574479, 100302197, 442910, 442911, 442913, 442914, 442915, 100126311, 442917, 442919, 442909, 406894, 406893, 100126308, 406898, 406897, 100126302, 406899, 406890, 574495, 406892, 406891, 554213, 442900, 442901, 442902, 442903, 442904, 442905, 442906, 442907, 442908, 406883, 406882, 406885, 406884, 406887, 406886, 406889, 406888, 407053, 554210, 407050, 407051, 407056, 407054, 406881, 407055, 494336, 494335, 494332, 494331, 494330, 494337, 406992, 407047, 406994, 406997, 406996, 406999, 406998, 407041, 407042, 407040, 574030, 407045, 574031, 407046, 574032, 768218, 407043, 574033, 406991, 407044, 574034, 494324, 494323, 442920, 406989, 768220, 100500887, 494328, 494326, 693121, 693123, 693124, 619555, 619552, 406900, 619553, 619556, 574441, 768215, 768217, 723779, 574433, 768216, 574434, 574435, 574436, 768213, 768212, 693235, 574450, 574451, 574452, 100500826, 574442, 100500828, 574444, 574447, 693120, 693221, 693224, 100422911, 693227, 100422913, 693228, 100422915, 100302214, 574453, 574454, 574455, 574456, 574457, 693210, 693213, 100302209, 693217, 574470, 574472, 574473, 100302203, 574474, 574467, 574468, 693165, 693166, 406940, 693167, 406942, 693169, 406941, 406944, 724030, 406943, 100302232, 100187716, 574513, 574514, 406935, 406934, 406937, 406936, 406938, 693174, 693175, 724022, 406931, 406930, 693159, 406933, 406932, 724026, 724025, 724024, 724023, 724029, 406924, 574408, 574409, 406928, 693161, 406927, 693162, 406929, 406920, 406921, 664616, 100302256, 574410, 100302133, 574412, 664612, 574413, 442898, 406913, 406915, 406914, 406917, 406919, 664617, 406918, 100422842, 693135, 693136, 693137, 406910, 442890, 442891, 442892, 100302123, 100500807, 406902, 406901, 406903, 406905, 693141	320	670	19376	28.28679104477612	0.0	0.0	0.0
