Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0008283~cell proliferation	206	20.599999999999998	3.6284704245169475E-22	"9982, 8894, 4176, 5268, 6598, 9181, 51083, 2305, 596, 27086, 598, 3630, 8767, 8646, 5152, 6489, 55333, 10668, 367, 3400, 55334, 4851, 30812, 7101, 6374, 7345, 6376, 8678, 29127, 1111, 931, 933, 3659, 8200, 7472, 8440, 8326, 8324, 3430, 140, 4081, 10403, 2213, 1003, 823, 8317, 10763, 3667, 705, 7369, 1264, 2350, 55003, 1378, 51561, 952, 3553, 3676, 5613, 26191, 6285, 7494, 1033, 2242, 1030, 1029, 2919, 5621, 6833, 728, 10622, 9686, 1164, 1163, 55388, 858, 10950, 9212, 5771, 3595, 3594, 1051, 1050, 7031, 7272, 1602, 1961, 983, 2016, 863, 7704, 86, 7046, 9349, 3486, 7040, 7161, 3480, 990, 991, 2149, 993, 994, 2147, 632, 23560, 2146, 10253, 11341, 7832, 6867, 3911, 7057, 3133, 10818, 3375, 23576, 7051, 8140, 27250, 55612, 2950, 887, 3487, 4213, 646, 1869, 2290, 6774, 6653, 1880, 2175, 2296, 2173, 2051, 890, 891, 54892, 1750, 1871, 2047, 898, 1991, 11202, 6663, 6662, 6664, 6422, 5455, 2066, 3397, 3707, 55198, 1761, 2057, 6655, 6657, 9928, 2737, 5585, 9141, 2625, 3159, 3037, 54795, 55090, 9833, 23532, 29078, 5467, 5469, 4150, 8872, 6210, 5241, 9965, 8995, 1440, 2099, 3066, 9283, 23060, 5916, 4948, 332, 1435, 5918, 699, 55544, 3059, 9837, 3851, 8624, 10673, 3975, 5914, 25937, 7433, 9055, 582, 4839, 7428, 4953, 54106, 5008, 5803"	974	2092	19376	1.9588929764704497	3.0366668982782334E-18	3.0366668982782334E-18	2.801904861811987E-18
GOTERM_BP_FAT	GO:1903047~mitotic cell cycle process	110	11	1.2681508387346078E-20	"4172, 4173, 4175, 11065, 6598, 1063, 24137, 1062, 7040, 4171, 990, 2305, 991, 596, 55165, 993, 994, 1058, 2146, 10253, 3630, 91, 6502, 6867, 4605, 9232, 4582, 3925, 641, 3400, 23175, 10783, 1869, 8678, 22974, 6491, 890, 891, 54892, 29127, 1871, 1870, 1111, 898, 26255, 54536, 10112, 11200, 1639, 9918, 5690, 4085, 9133, 10361, 23397, 29899, 9493, 10403, 388, 55198, 1761, 10926, 8318, 8317, 11178, 10763, 9928, 7508, 6790, 9787, 29980, 10615, 26233, 3553, 835, 5218, 3832, 3833, 5111, 9833, 1033, 1030, 23137, 1029, 51692, 54443, 5347, 5901, 5902, 1164, 1163, 332, 55143, 699, 55544, 9319, 9837, 11004, 9212, 580, 9055, 8480, 7272, 585, 23194, 983, 901, 51512, 4678, 86"	974	834	19376	2.623806498948685	1.0613154369369932E-16	5.306577184684966E-17	4.896330388354321E-17
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	120	12	3.0762767113345573E-19	"4172, 4173, 4175, 11065, 6598, 1063, 24137, 1062, 7040, 4171, 990, 2305, 991, 596, 55165, 993, 994, 1058, 2146, 10253, 3630, 91, 6502, 7832, 6867, 4605, 9232, 4582, 3925, 641, 3400, 23175, 10783, 1869, 8678, 2296, 22974, 6491, 890, 891, 54892, 29127, 1871, 1870, 1111, 898, 26255, 54536, 10112, 11200, 1639, 9918, 5690, 4085, 9133, 10361, 23397, 29899, 9493, 10403, 388, 55198, 1761, 10926, 8318, 2619, 8317, 11178, 10763, 9928, 7508, 6790, 9787, 29980, 10733, 10615, 26233, 3553, 835, 5218, 3832, 3833, 6045, 5111, 9833, 1033, 1030, 23137, 440, 1029, 51692, 3169, 54443, 5347, 5901, 5902, 1164, 1163, 332, 55143, 699, 55544, 9319, 9837, 858, 10950, 11004, 9212, 23113, 580, 9055, 8480, 7272, 585, 23194, 983, 901, 51512, 4678, 86"	974	997	19376	2.3943699682208845	2.574535979715891E-15	8.58178659905297E-16	7.918336254975151E-16
GOTERM_BP_FAT	GO:0051726~regulation of cell cycle	135	13.5	4.503022048892514E-19	"7046, 9349, 11065, 11186, 6598, 1063, 1062, 7040, 7161, 3480, 990, 2305, 991, 596, 993, 598, 55689, 994, 23560, 2146, 3630, 6502, 7832, 9232, 50838, 4582, 23331, 7051, 10668, 27250, 641, 9903, 10783, 1869, 2290, 7101, 8678, 6774, 2296, 22974, 6491, 890, 891, 10635, 54892, 1875, 29127, 1870, 1111, 898, 26255, 6009, 10112, 11200, 1639, 9918, 3659, 5690, 4085, 9133, 6662, 8326, 10361, 6422, 23397, 29899, 28964, 9493, 10403, 388, 55198, 1761, 10926, 8318, 6657, 2619, 8317, 9928, 7508, 6790, 9787, 2625, 29980, 10733, 10615, 10614, 26233, 3553, 5457, 835, 5218, 3832, 1033, 1030, 23137, 440, 1029, 51692, 2237, 323, 3169, 54443, 5621, 5347, 5469, 5902, 8872, 6210, 1164, 1163, 26973, 332, 55143, 23582, 699, 55544, 9319, 858, 10950, 5914, 9212, 23113, 51191, 1050, 580, 9055, 8480, 7272, 1602, 585, 983, 901, 5888, 51512, 86"	974	1200	19376	2.237987679671458	3.768579152718145E-15	9.421447881795363E-16	8.693084065386999E-16
GOTERM_BP_FAT	GO:0042127~regulation of cell proliferation	180	18	1.4815814318609397E-18	"9982, 7046, 9349, 5268, 6598, 3486, 9181, 7040, 7161, 51083, 3480, 990, 2305, 991, 596, 2149, 27086, 598, 994, 2147, 23560, 2146, 10253, 3630, 7832, 8767, 8646, 3756, 3911, 5152, 7057, 6489, 3375, 3133, 10818, 23576, 7051, 8140, 55333, 10668, 27250, 55612, 367, 2950, 3400, 55334, 887, 4213, 646, 4851, 30812, 1869, 2290, 7101, 6374, 5321, 8678, 6376, 6774, 1880, 2175, 2173, 890, 891, 1871, 1750, 2047, 1111, 898, 1991, 933, 3659, 8200, 7472, 8440, 6663, 6662, 8326, 6664, 6422, 5455, 8324, 2066, 3397, 3430, 9095, 140, 4081, 55198, 2213, 1003, 2057, 823, 6655, 6657, 8317, 10763, 3667, 9928, 2737, 5585, 7369, 1264, 2350, 9141, 2625, 1378, 3159, 51561, 952, 3037, 54795, 3553, 3676, 8844, 26191, 6285, 7494, 55090, 1033, 2242, 1030, 23532, 1029, 29078, 5467, 2919, 5621, 5469, 6833, 728, 4150, 8872, 9686, 6210, 5241, 9965, 8995, 1440, 2099, 3066, 9283, 23060, 5916, 2525, 332, 1435, 5918, 3059, 55544, 3851, 10673, 858, 3975, 10950, 2925, 5914, 25937, 7433, 5771, 3595, 3594, 1051, 1050, 9055, 7031, 7272, 1602, 4839, 1961, 983, 2016, 863, 7428, 4953, 54106, 5008, 7704, 86, 5803"	974	1856	19376	1.929299723854705	1.2399355003244205E-14	2.3823152723784627E-15	2.1981405823045153E-15
GOTERM_BP_FAT	GO:0007049~cell cycle	175	17.5	1.707956940407549E-18	"4172, 4173, 8099, 4175, 4176, 9349, 11065, 6478, 11186, 6598, 1063, 24137, 9181, 1062, 7040, 7161, 3480, 4171, 990, 2305, 991, 596, 55165, 993, 598, 994, 1058, 23560, 2146, 10253, 3630, 91, 6502, 7832, 6867, 5899, 3875, 4605, 9232, 50838, 4582, 23331, 7051, 25879, 10668, 3925, 27250, 641, 3400, 23175, 55615, 9903, 10783, 1869, 2956, 2290, 7101, 8678, 2175, 2296, 22974, 6491, 890, 891, 10635, 54892, 29127, 1871, 1870, 1111, 898, 26255, 54536, 10112, 11200, 1639, 9918, 5690, 4085, 9133, 6662, 10361, 6422, 23397, 29899, 28964, 9493, 55355, 11339, 10403, 388, 55198, 1761, 10926, 8318, 6657, 2619, 8317, 11178, 8438, 10763, 9928, 7508, 9025, 6790, 9787, 25788, 2625, 29980, 10733, 10615, 10614, 26233, 3553, 8208, 835, 5218, 3832, 3833, 6045, 9156, 5111, 9833, 5596, 6566, 1033, 2242, 1030, 23137, 440, 1029, 51692, 2237, 323, 3169, 54443, 5621, 5347, 5469, 5901, 5902, 8872, 6210, 1164, 1163, 26973, 332, 55143, 23582, 699, 55544, 9319, 9837, 858, 10950, 11004, 5914, 9212, 23113, 26227, 51191, 1050, 580, 9055, 8480, 7272, 1602, 585, 23194, 983, 901, 5888, 51512, 4678, 86"	974	1785	19376	1.9503160607158674	1.4293891634270776E-14	2.3823152723784627E-15	2.1981405823045153E-15
GOTERM_BP_FAT	GO:0022402~cell cycle process	136	13.600000000000001	3.395833218570517E-16	"4172, 4173, 4175, 9349, 11065, 11186, 6598, 1063, 24137, 1062, 7040, 3480, 4171, 990, 2305, 991, 596, 55165, 993, 598, 994, 1058, 2146, 10253, 3630, 91, 6502, 6867, 4605, 9232, 50838, 4582, 25879, 3925, 641, 3400, 23175, 9903, 10783, 1869, 2956, 8678, 2175, 22974, 6491, 890, 891, 10635, 54892, 29127, 1871, 1870, 1111, 898, 26255, 54536, 10112, 11200, 1639, 9918, 5690, 4085, 9133, 10361, 23397, 29899, 28964, 9493, 10403, 388, 55198, 1761, 10926, 8318, 6657, 8317, 11178, 8438, 10763, 9928, 7508, 6790, 9787, 25788, 29980, 10733, 10615, 26233, 3553, 835, 5218, 3832, 3833, 5111, 9833, 6566, 1033, 2242, 1030, 23137, 1029, 51692, 2237, 323, 54443, 5347, 5469, 5901, 5902, 1164, 1163, 26973, 332, 55143, 699, 55544, 9319, 9837, 858, 11004, 9212, 23113, 26227, 580, 9055, 8480, 7272, 1602, 585, 23194, 983, 901, 5888, 51512, 4678, 86"	974	1308	19376	2.068408592832608	2.7874369479263805E-12	4.059961172316666E-13	3.7460891591145045E-13
GOTERM_BP_FAT	GO:0007399~nervous system development	223	22.3	9.431498102726E-16	"8530, 25902, 6596, 9742, 6598, 9181, 596, 27086, 51760, 7436, 8646, 8543, 18, 30012, 2558, 2676, 2674, 23175, 3400, 4851, 30812, 8537, 4857, 8553, 7101, 7345, 6376, 8678, 6491, 29127, 23022, 6009, 10512, 8200, 9531, 7472, 8440, 7475, 8326, 8324, 1131, 9095, 28964, 23030, 2213, 7349, 10882, 11178, 10763, 11059, 10644, 10643, 9542, 5064, 4099, 3684, 7368, 8577, 23245, 10612, 1258, 27289, 952, 3553, 3676, 835, 4524, 5979, 7915, 6285, 7494, 4661, 2242, 1030, 6280, 2919, 6833, 6715, 7804, 728, 10501, 6297, 23224, 26052, 51466, 9331, 5653, 4685, 3475, 1051, 2019, 983, 2016, 3909, 7704, 86, 8915, 7046, 1063, 7040, 7161, 3480, 991, 27124, 2147, 632, 2146, 10938, 91, 11341, 7832, 9218, 6867, 3911, 2824, 7851, 9118, 10818, 8382, 8140, 3925, 2950, 4213, 7844, 1869, 54407, 1746, 2290, 6774, 6653, 1880, 2297, 2296, 26018, 2173, 2051, 23303, 9919, 2049, 1750, 2047, 6887, 6405, 1639, 11202, 4902, 6663, 8842, 6662, 6664, 6422, 5455, 2066, 3397, 23432, 29777, 2063, 10129, 55198, 53335, 2057, 55638, 5205, 9922, 6657, 7988, 2618, 9928, 7869, 6538, 2737, 9806, 6790, 4010, 4133, 6434, 8292, 2625, 3158, 6546, 5457, 51726, 51052, 55773, 321, 3601, 3169, 5467, 4137, 5469, 5901, 25925, 9965, 7545, 9721, 3066, 9283, 2647, 2889, 23060, 1678, 5916, 1435, 8624, 6327, 3975, 5914, 7431, 5010, 6101, 7798, 26227, 3198, 8087, 582, 220, 585, 6457, 7546, 4038, 7428, 3984, 5803"	974	2641	19376	1.6797383232504024	7.433165194470348E-12	9.866525952714236E-13	9.103753543656272E-13
GOTERM_BP_FAT	GO:0010564~regulation of cell cycle process	89	8.9	4.7378637068707956E-14	"6790, 9349, 11186, 11065, 9787, 6598, 1063, 7040, 1062, 3480, 990, 29980, 991, 10733, 596, 10615, 993, 598, 994, 2146, 3553, 3630, 835, 3832, 9232, 50838, 4582, 1030, 23137, 1029, 51692, 641, 2237, 323, 54443, 9903, 5347, 10783, 5469, 1869, 5902, 8678, 26973, 22974, 6491, 10635, 891, 54892, 332, 55143, 29127, 699, 55544, 26255, 1111, 9319, 10112, 11200, 858, 1639, 9918, 5690, 9212, 4085, 6662, 10361, 6422, 23397, 23113, 29899, 28964, 580, 9055, 8480, 9493, 7272, 1602, 10403, 585, 55198, 983, 1761, 10926, 6657, 51512, 8317, 9928, 86, 7508"	974	744	19376	2.3797001611799256	3.9674519225485483E-10	4.4056868180890767E-11	4.065087060495143E-11
GOTERM_BP_FAT	GO:0051301~cell division	82	8.200000000000001	5.927461718080041E-14	"9025, 6790, 5460, 11065, 1063, 24137, 9181, 7040, 1062, 3480, 990, 991, 10733, 10615, 993, 55165, 598, 994, 1058, 3553, 6867, 5899, 5218, 3832, 3833, 9232, 50838, 23331, 23137, 1029, 3925, 641, 54443, 4851, 9903, 5347, 10783, 5901, 8872, 8678, 3068, 1164, 1163, 22974, 890, 891, 4904, 54892, 332, 55143, 29127, 699, 898, 10112, 54536, 11200, 1639, 9918, 11004, 9212, 4085, 9133, 25937, 8324, 5455, 23397, 29899, 28964, 9055, 8480, 9493, 11339, 10403, 585, 388, 23194, 983, 901, 5008, 8317, 9928, 7704"	974	658	19376	2.4790947616759142	4.961637767308957E-10	4.9606927118611865E-11	4.577185938701408E-11
