Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007049~cell cycle	70	23.411371237458194	7.400458415935617E-16	9025, 4172, 4173, 134359, 4175, 10051, 9787, 83903, 57060, 25788, 2305, 57348, 81930, 26271, 10615, 993, 1894, 8208, 55726, 151246, 6502, 152015, 5336, 7516, 4602, 3833, 4781, 5111, 285643, 219771, 3925, 323, 57553, 23175, 3169, 79723, 83461, 5347, 4751, 2177, 80218, 84617, 22974, 10635, 891, 29127, 9837, 54536, 11200, 3619, 8882, 93323, 3070, 9133, 6662, 10361, 116138, 29899, 5292, 7272, 55198, 387103, 1763, 864, 10926, 84930, 701, 54821, 8317, 8914	273	1710	19163	2.8734442944969256	3.22830651100503E-12	3.0734103801380616E-12	3.0016259335034862E-12
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	49	16.387959866220736	7.287156015077539E-15	4172, 4173, 4175, 10051, 9787, 83903, 57060, 2305, 57348, 81930, 26271, 10615, 993, 1894, 55726, 6502, 7516, 4602, 3833, 4781, 5111, 285643, 219771, 3925, 23175, 3169, 5347, 4751, 2177, 80218, 84617, 22974, 891, 29127, 9837, 54536, 11200, 3619, 9133, 10361, 29899, 7272, 55198, 387103, 1763, 10926, 84930, 701, 8317	273	936	19163	3.674693184308569	3.043831853233314E-11	1.5131779465308507E-11	1.4778352398577248E-11
GOTERM_BP_FAT	GO:1903047~mitotic cell cycle process	43	14.381270903010032	1.1242195567039059E-13	4172, 4173, 4175, 10051, 4751, 9787, 2177, 80218, 57060, 83903, 22974, 891, 2305, 81930, 26271, 10615, 993, 29127, 1894, 6502, 55726, 9837, 54536, 11200, 3619, 3833, 9133, 4781, 5111, 285643, 10361, 219771, 29899, 7272, 3925, 55198, 1763, 23175, 84930, 10926, 701, 5347, 8317	273	786	19163	3.8401373859389127	4.671820708068708E-10	1.5539084850146324E-10	1.5176144510520947E-10
GOTERM_BP_FAT	GO:0051276~chromosome organization	54	18.06020066889632	1.4966611943314543E-13	9025, 4172, 4173, 4175, 91133, 10051, 9787, 83903, 25788, 81930, 26271, 83439, 10615, 8208, 151246, 6944, 7913, 3833, 5111, 285643, 56943, 3169, 79723, 5984, 5347, 4751, 11240, 2177, 2099, 80218, 3066, 23028, 151507, 891, 23381, 29127, 3015, 10473, 9837, 3619, 3070, 6662, 22948, 6500, 10361, 26147, 7272, 387103, 1763, 54069, 701, 84893, 54821, 10721	273	1212	19163	3.1274616472636274	6.21679596690683E-10	1.5539084850146324E-10	1.5176144510520947E-10
GOTERM_BP_FAT	GO:0022402~cell cycle process	54	18.06020066889632	5.391179854664489E-13	4172, 4173, 4175, 10051, 9787, 83903, 57060, 25788, 2305, 81930, 26271, 10615, 993, 1894, 55726, 151246, 6502, 152015, 5336, 7516, 3833, 4781, 5111, 285643, 219771, 3925, 323, 23175, 5347, 4751, 2177, 80218, 22974, 10635, 891, 29127, 9837, 54536, 11200, 3619, 8882, 93323, 9133, 10361, 116138, 29899, 7272, 55198, 1763, 10926, 84930, 701, 8317, 8914	273	1252	19163	3.027542744795141	2.2395223453486324E-9	4.477913987284325E-10	4.373325098103834E-10
GOTERM_BP_FAT	GO:0006259~DNA metabolic process	49	16.387959866220736	4.6709020860587535E-12	9025, 4172, 4173, 4175, 200424, 9582, 25788, 2305, 26271, 993, 55247, 115004, 8208, 6944, 7516, 7913, 7298, 4781, 5111, 1789, 56943, 78995, 23175, 23450, 79723, 5984, 5347, 10189, 4751, 2177, 23028, 10635, 55388, 23381, 9837, 11200, 8882, 3070, 22948, 10361, 116138, 1763, 2178, 10926, 54069, 84893, 8317, 8914, 10721	273	1116	19163	3.0820007352265417	1.9403044282384485E-8	3.233042727233667E-9	3.1575298101757173E-9
GOTERM_BP_FAT	GO:0051301~cell division	36	12.040133779264215	1.3714604114456538E-11	9025, 10051, 4751, 22974, 891, 26271, 10615, 993, 29127, 1894, 151246, 55726, 152015, 54536, 11200, 3619, 3833, 93323, 3070, 9133, 285643, 8324, 219771, 29899, 9253, 3925, 387103, 57553, 84930, 54069, 701, 83461, 5347, 54821, 8317, 8914	273	652	19163	3.8757500168543118	5.697038452101566E-8	8.136678698191143E-9	7.946633469747959E-9
KEGG_PATHWAY	hsa04110:Cell cycle	18	6.0200668896321075	2.0850675352603222E-10	4172, 4173, 9133, 4175, 5111, 6500, 3066, 7272, 891, 26271, 993, 10926, 6502, 701, 5347, 11200, 8317, 10971	134	157	8662	7.411160756725924	4.399492692375162E-8	4.420343174751883E-8	4.420343174751883E-8
GOTERM_CC_FAT	GO:0098687~chromosomal region	28	9.364548494983277	3.3565247369388976E-10	9025, 4172, 4173, 4175, 10051, 4751, 3066, 23028, 10635, 891, 81930, 51164, 10615, 151246, 9878, 11200, 3619, 3070, 5111, 7272, 387103, 1763, 79723, 54069, 701, 5347, 10189, 54821	270	416	17416	4.341595441595441	1.7823146469808648E-7	1.7823146353145546E-7	1.7218971900496543E-7
GOTERM_BP_FAT	GO:0006260~DNA replication	21	7.023411371237458	4.742950811299807E-10	4172, 8882, 4173, 4175, 4781, 5111, 10361, 55388, 26271, 993, 1763, 23175, 10926, 5984, 8208, 9837, 10189, 84893, 8317, 10721, 8914	273	249	19163	5.919987642879209	1.9702196876192346E-6	2.4621843399160127E-7	2.4046760613290024E-7
