From	To	Species	Gene Name
mir598	693183	Homo sapiens	microRNA 598(MIR598)
mir3652	100500842	Homo sapiens	microRNA 3652(MIR3652)
mir592	693177	Homo sapiens	microRNA 592(MIR592)
mir3651	100500918	Homo sapiens	microRNA 3651(MIR3651)
mir3654	100500804	Homo sapiens	microRNA 3654(MIR3654)
mir590	693175	Homo sapiens	microRNA 590(MIR590)
mir3655	100500820	Homo sapiens	microRNA 3655(MIR3655)
mir33b	693120	Homo sapiens	microRNA 33b(MIR33B)
mir133b	442890	Homo sapiens	microRNA 133b(MIR133B)
mir33a	407039	Homo sapiens	microRNA 33a(MIR33A)
mir19b1	406980	Homo sapiens	microRNA 19b-1(MIR19B1)
mir589	693174	Homo sapiens	microRNA 589(MIR589)
mir107	406901	Homo sapiens	microRNA 107(MIR107)
mir19b2	406981	Homo sapiens	microRNA 19b-2(MIR19B2)
mir222	407007	Homo sapiens	microRNA 222(MIR222)
mir585	693170	Homo sapiens	microRNA 585(MIR585)
mir223	407008	Homo sapiens	microRNA 223(MIR223)
mir224	407009	Homo sapiens	microRNA 224(MIR224)
mir345	442910	Homo sapiens	microRNA 345(MIR345)
mir346	442911	Homo sapiens	microRNA 346(MIR346)
mir581	693166	Homo sapiens	microRNA 581(MIR581)
mir3664	100500844	Homo sapiens	microRNA 3664(MIR3664)
mir340	442908	Homo sapiens	microRNA 340(MIR340)
mir582	693167	Homo sapiens	microRNA 582(MIR582)
mir3662	100500880	Homo sapiens	microRNA 3662(MIR3662)
mir100	406892	Homo sapiens	microRNA 100(MIR100)
mir221	407006	Homo sapiens	microRNA 221(MIR221)
mir342	442909	Homo sapiens	microRNA 342(MIR342)
mir584	693169	Homo sapiens	microRNA 584(MIR584)
mir3667	100500882	Homo sapiens	microRNA 3667(MIR3667)
mirlet7b	406884	Homo sapiens	microRNA let-7b(MIRLET7B)
mirlet7c	406885	Homo sapiens	microRNA let-7c(MIRLET7C)
mir1248	100302143	Homo sapiens	microRNA 1248(MIR1248)
mirlet7d	406886	Homo sapiens	microRNA let-7d(MIRLET7D)
mir1247	100302145	Homo sapiens	microRNA 1247(MIR1247)
mirlet7e	406887	Homo sapiens	microRNA let-7e(MIRLET7E)
mir580	693165	Homo sapiens	microRNA 580(MIR580)
mir1249	100302149	Homo sapiens	microRNA 1249(MIR1249)
mirlet7g	406890	Homo sapiens	microRNA let-7g(MIRLET7G)
mirlet7i	406891	Homo sapiens	microRNA let-7i(MIRLET7I)
mir20a	406982	Homo sapiens	microRNA 20a(MIR20A)
mir20b	574032	Homo sapiens	microRNA 20b(MIR20B)
mir146b	574447	Homo sapiens	microRNA 146b(MIR146B)
mir376b	574435	Homo sapiens	microRNA 376b(MIR376B)
mir146a	406938	Homo sapiens	microRNA 146a(MIR146A)
mir376c	442913	Homo sapiens	microRNA 376c(MIR376C)
mir215	406997	Homo sapiens	microRNA 215(MIR215)
mir337	442905	Homo sapiens	microRNA 337(MIR337)
mir579	693164	Homo sapiens	microRNA 579(MIR579)
mir217	406999	Homo sapiens	microRNA 217(MIR217)
mir338	442906	Homo sapiens	microRNA 338(MIR338)
mir339	442907	Homo sapiens	microRNA 339(MIR339)
mir574	693159	Homo sapiens	microRNA 574(MIR574)
mir454	768216	Homo sapiens	microRNA 454(MIR454)
mir212	406994	Homo sapiens	microRNA 212(MIR212)
mir1251	100302289	Homo sapiens	microRNA 1251(MIR1251)
mir455	619556	Homo sapiens	microRNA 455(MIR455)
mir576	693161	Homo sapiens	microRNA 576(MIR576)
mir214	406996	Homo sapiens	microRNA 214(MIR214)
mir335	442904	Homo sapiens	microRNA 335(MIR335)
mir577	693162	Homo sapiens	microRNA 577(MIR577)
mir570	693155	Homo sapiens	microRNA 570(MIR570)
mir330	442902	Homo sapiens	microRNA 330(MIR330)
mir210	406992	Homo sapiens	microRNA 210(MIR210)
mir331	442903	Homo sapiens	microRNA 331(MIR331)
mir452	574412	Homo sapiens	microRNA 452(MIR452)
mir3678	100500841	Homo sapiens	microRNA 3678(MIR3678)
mir1258	100302172	Homo sapiens	microRNA 1258(MIR1258)
mir3677	100500812	Homo sapiens	microRNA 3677(MIR3677)
mir196a1	406972	Homo sapiens	microRNA 196a-1(MIR196A1)
mir196a2	406973	Homo sapiens	microRNA 196a-2(MIR196A2)
mir135b	442891	Homo sapiens	microRNA 135b(MIR135B)
mir147b	100126311	Homo sapiens	microRNA 147b(MIR147B)
mir450b	100126302	Homo sapiens	microRNA 450b(MIR450B)
mir204	406987	Homo sapiens	microRNA 204(MIR204)
mir205	406988	Homo sapiens	microRNA 205(MIR205)
mir326	442900	Homo sapiens	microRNA 326(MIR326)
mir206	406989	Homo sapiens	microRNA 206(MIR206)
mir328	442901	Homo sapiens	microRNA 328(MIR328)
mir3682	100500850	Homo sapiens	microRNA 3682(MIR3682)
mir1262	100302279	Homo sapiens	microRNA 1262(MIR1262)
mir202	574448	Homo sapiens	microRNA 202(MIR202)
mir324	442898	Homo sapiens	microRNA 324(MIR324)
mir2355	100423036	Homo sapiens	microRNA 2355(MIR2355)
mir2110	100302224	Homo sapiens	microRNA 2110(MIR2110)
mir1266	100302202	Homo sapiens	microRNA 1266(MIR1266)
mir561	693146	Homo sapiens	microRNA 561(MIR561)
mir3684	100500867	Homo sapiens	microRNA 3684(MIR3684)
mir3200	100422912	Homo sapiens	microRNA 3200(MIR3200)
mir2116	100313886	Homo sapiens	microRNA 2116(MIR2116)
mir2114	100313839	Homo sapiens	microRNA 2114(MIR2114)
mir2115	100313840	Homo sapiens	microRNA 2115(MIR2115)
mir30d	407033	Homo sapiens	microRNA 30d(MIR30D)
mir30e	407034	Homo sapiens	microRNA 30e(MIR30E)
mir30a	407029	Homo sapiens	microRNA 30a(MIR30A)
mir148b	442892	Homo sapiens	microRNA 148b(MIR148B)
mir148a	406940	Homo sapiens	microRNA 148a(MIR148A)
mir30b	407030	Homo sapiens	microRNA 30b(MIR30B)
mir487b	664616	Homo sapiens	microRNA 487b(MIR487B)
mir487a	619555	Homo sapiens	microRNA 487a(MIR487A)
mir378c	100422867	Homo sapiens	microRNA 378c(MIR378C)
mir556	693141	Homo sapiens	microRNA 556(MIR556)
mir29b1	407024	Homo sapiens	microRNA 29b-1(MIR29B1)
mir29b2	407025	Homo sapiens	microRNA 29b-2(MIR29B2)
mir431	574038	Homo sapiens	microRNA 431(MIR431)
mir552	693137	Homo sapiens	microRNA 552(MIR552)
mir432	574451	Homo sapiens	microRNA 432(MIR432)
mir675	100033819	Homo sapiens	microRNA 675(MIR675)
mir433	574034	Homo sapiens	microRNA 433(MIR433)
mir676	100500887	Homo sapiens	microRNA 676(MIR676)
mir671	768213	Homo sapiens	microRNA 671(MIR671)
mir199a2	406977	Homo sapiens	microRNA 199a-2(MIR199A2)
mir3613	100500908	Homo sapiens	microRNA 3613(MIR3613)
mir3610	100500914	Homo sapiens	microRNA 3610(MIR3610)
mir3614	100500827	Homo sapiens	microRNA 3614(MIR3614)
mir3615	100500847	Homo sapiens	microRNA 3615(MIR3615)
mir199a1	406976	Homo sapiens	microRNA 199a-1(MIR199A1)
mir3609	100500819	Homo sapiens	microRNA 3609(MIR3609)
mir429	554210	Homo sapiens	microRNA 429(MIR429)
mir545	664614	Homo sapiens	microRNA 545(MIR545)
mir424	494336	Homo sapiens	microRNA 424(MIR424)
mir425	494337	Homo sapiens	microRNA 425(MIR425)
mir541	100126308	Homo sapiens	microRNA 541(MIR541)
mir542	664617	Homo sapiens	microRNA 542(MIR542)
mir421	693122	Homo sapiens	microRNA 421(MIR421)
mir543	100126335	Homo sapiens	microRNA 543(MIR543)
mir423	494335	Homo sapiens	microRNA 423(MIR423)
mir665	100126315	Homo sapiens	microRNA 665(MIR665)
mir3620	100500810	Homo sapiens	microRNA 3620(MIR3620)
mir660	724030	Homo sapiens	microRNA 660(MIR660)
mir3619	100500828	Homo sapiens	microRNA 3619(MIR3619)
mir659	724029	Homo sapiens	microRNA 659(MIR659)
mir130a	406919	Homo sapiens	microRNA 130a(MIR130A)
mir539	664612	Homo sapiens	microRNA 539(MIR539)
mir130b	406920	Homo sapiens	microRNA 130b(MIR130B)
mir655	724025	Homo sapiens	microRNA 655(MIR655)
mir656	724026	Homo sapiens	microRNA 656(MIR656)
mir658	724028	Homo sapiens	microRNA 658(MIR658)
mir651	723779	Homo sapiens	microRNA 651(MIR651)
mir652	724022	Homo sapiens	microRNA 652(MIR652)
mir410	574434	Homo sapiens	microRNA 410(MIR410)
mir653	724023	Homo sapiens	microRNA 653(MIR653)
mir411	693121	Homo sapiens	microRNA 411(MIR411)
mir532	693124	Homo sapiens	microRNA 532(MIR532)
mir654	724024	Homo sapiens	microRNA 654(MIR654)
mir412	574433	Homo sapiens	microRNA 412(MIR412)
mir17	406952	Homo sapiens	microRNA 17(MIR17)
mir99b	407056	Homo sapiens	microRNA 99b(MIR99B)
mir99a	407055	Homo sapiens	microRNA 99a(MIR99A)
mir769	768217	Homo sapiens	microRNA 769(MIR769)
mir409	574413	Homo sapiens	microRNA 409(MIR409)
mir765	768220	Homo sapiens	microRNA 765(MIR765)
mir766	768218	Homo sapiens	microRNA 766(MIR766)
mir887	100126347	Homo sapiens	microRNA 887(MIR887)
mir525	574470	Homo sapiens	microRNA 525(MIR525)
mir767	768215	Homo sapiens	microRNA 767(MIR767)
mir889	100126345	Homo sapiens	microRNA 889(MIR889)
mir641	693226	Homo sapiens	microRNA 641(MIR641)
mir522	574495	Homo sapiens	microRNA 522(MIR522)
mir885	100126334	Homo sapiens	microRNA 885(MIR885)
mir643	693228	Homo sapiens	microRNA 643(MIR643)
mir760	100126348	Homo sapiens	microRNA 760(MIR760)
mir1224	100187716	Homo sapiens	microRNA 1224(MIR1224)
mir1226	100302232	Homo sapiens	microRNA 1226(MIR1226)
mir1468	100302115	Homo sapiens	microRNA 1468(MIR1468)
mir1228	100302201	Homo sapiens	microRNA 1228(MIR1228)
mir1229	100302156	Homo sapiens	microRNA 1229(MIR1229)
mir374a	442919	Homo sapiens	microRNA 374a(MIR374A)
mir758	768212	Homo sapiens	microRNA 758(MIR758)
mir374b	100126317	Homo sapiens	microRNA 374b(MIR374B)
mir639	693224	Homo sapiens	microRNA 639(MIR639)
mir374c	100500807	Homo sapiens	microRNA 374c(MIR374C)
mir877	100126314	Homo sapiens	microRNA 877(MIR877)
mir636	693221	Homo sapiens	microRNA 636(MIR636)
mir874	100126343	Homo sapiens	microRNA 874(MIR874)
mir632	693217	Homo sapiens	microRNA 632(MIR632)
mir32	407036	Homo sapiens	microRNA 32(MIR32)
mir31	407035	Homo sapiens	microRNA 31(MIR31)
mir3934	100500873	Homo sapiens	microRNA 3934(MIR3934)
mir3928	100500901	Homo sapiens	microRNA 3928(MIR3928)
mir505	574508	Homo sapiens	microRNA 505(MIR505)
mir627	693212	Homo sapiens	microRNA 627(MIR627)
mir628	693213	Homo sapiens	microRNA 628(MIR628)
mir508	574513	Homo sapiens	microRNA 508(MIR508)
mir629	693214	Homo sapiens	microRNA 629(MIR629)
mir501	574503	Homo sapiens	microRNA 501(MIR501)
mir502	574504	Homo sapiens	microRNA 502(MIR502)
mir744	100126313	Homo sapiens	microRNA 744(MIR744)
